datetime,machineID,errorID
03/01/2015 07:00,1,error1
03/01/2015 20:00,1,error3
04/01/2015 06:00,1,error5
10/01/2015 15:00,1,error4
22/01/2015 10:00,1,error4
25/01/2015 15:00,1,error4
27/01/2015 04:00,1,error1
03/03/2015 22:00,1,error2
05/03/2015 06:00,1,error1
20/03/2015 18:00,1,error1
26/03/2015 01:00,1,error2
31/03/2015 23:00,1,error1
19/04/2015 06:00,1,error2
19/04/2015 06:00,1,error3
29/04/2015 19:00,1,error4
04/05/2015 23:00,1,error2
12/05/2015 09:00,1,error1
21/05/2015 07:00,1,error4
24/05/2015 02:00,1,error3
25/05/2015 05:00,1,error1
09/06/2015 06:00,1,error3
18/06/2015 06:00,1,error5
23/06/2015 10:00,1,error3
23/08/2015 19:00,1,error1
30/08/2015 01:00,1,error3
01/09/2015 06:00,1,error5
13/09/2015 17:00,1,error2
15/09/2015 06:00,1,error1
01/10/2015 23:00,1,error1
15/10/2015 05:00,1,error1
16/10/2015 03:00,1,error3
16/10/2015 06:00,1,error2
16/10/2015 06:00,1,error3
10/11/2015 04:00,1,error3
15/12/2015 06:00,1,error5
12/01/2015 14:00,2,error4
06/02/2015 10:00,2,error4
11/02/2015 11:00,2,error1
11/03/2015 22:00,2,error2
18/03/2015 06:00,2,error1
18/03/2015 06:00,2,error2
18/03/2015 06:00,2,error3
26/03/2015 03:00,2,error2
27/03/2015 17:00,2,error3
17/04/2015 06:00,2,error2
17/04/2015 06:00,2,error3
07/05/2015 08:00,2,error2
13/05/2015 10:00,2,error1
30/05/2015 20:00,2,error5
18/06/2015 14:00,2,error5
18/07/2015 06:00,2,error4
20/07/2015 10:00,2,error2
23/07/2015 02:00,2,error1
03/08/2015 10:00,2,error1
18/08/2015 22:00,2,error5
23/08/2015 10:00,2,error2
28/08/2015 08:00,2,error2
16/09/2015 13:00,2,error4
19/09/2015 21:00,2,error4
23/09/2015 19:00,2,error2
08/11/2015 21:00,2,error3
28/12/2015 06:00,2,error2
28/12/2015 06:00,2,error3
06/01/2015 06:00,3,error2
06/01/2015 06:00,3,error3
08/01/2015 02:00,3,error1
11/01/2015 05:00,3,error1
11/01/2015 19:00,3,error3
28/01/2015 17:00,3,error4
05/02/2015 06:00,3,error1
23/02/2015 06:00,3,error4
02/03/2015 11:00,3,error4
21/03/2015 16:00,3,error3
06/04/2015 16:00,3,error2
09/04/2015 09:00,3,error3
26/04/2015 19:00,3,error2
06/05/2015 19:00,3,error4
24/05/2015 15:00,3,error2
10/06/2015 21:00,3,error4
27/06/2015 07:00,3,error1
09/07/2015 21:00,3,error4
18/07/2015 19:00,3,error1
20/07/2015 06:00,3,error2
20/07/2015 06:00,3,error3
25/07/2015 23:00,3,error4
29/07/2015 17:00,3,error1
02/08/2015 15:00,3,error1
07/08/2015 04:00,3,error2
08/09/2015 04:00,3,error1
13/09/2015 11:00,3,error1
18/09/2015 10:00,3,error2
01/10/2015 02:00,3,error5
03/10/2015 06:00,3,error2
03/10/2015 06:00,3,error3
23/10/2015 14:00,3,error3
31/10/2015 23:00,3,error2
07/11/2015 15:00,3,error4
20/11/2015 23:00,3,error1
02/12/2015 06:00,3,error2
02/12/2015 06:00,3,error3
19/12/2015 22:00,3,error5
25/12/2015 12:00,3,error1
04/01/2015 03:00,4,error3
06/01/2015 01:00,4,error1
11/01/2015 14:00,4,error3
13/01/2015 18:00,4,error2
14/01/2015 21:00,4,error1
16/01/2015 06:00,4,error2
16/01/2015 06:00,4,error3
12/02/2015 15:00,4,error2
15/02/2015 06:00,4,error1
27/02/2015 09:00,4,error1
19/03/2015 05:00,4,error2
22/03/2015 22:00,4,error1
01/04/2015 06:00,4,error2
01/04/2015 06:00,4,error3
06/04/2015 14:00,4,error1
03/05/2015 17:00,4,error2
23/06/2015 08:00,4,error2
15/07/2015 06:00,4,error2
15/07/2015 06:00,4,error3
24/07/2015 05:00,4,error2
27/07/2015 17:00,4,error4
10/08/2015 06:00,4,error4
29/08/2015 06:00,4,error1
05/09/2015 06:00,4,error2
10/10/2015 07:00,4,error1
13/10/2015 06:00,4,error2
13/10/2015 06:00,4,error3
17/10/2015 20:00,4,error1
28/10/2015 16:00,4,error3
12/11/2015 16:00,4,error3
04/12/2015 06:00,4,error1
08/01/2015 06:00,5,error2
08/01/2015 06:00,5,error3
31/01/2015 19:00,5,error1
22/02/2015 06:00,5,error1
24/02/2015 14:00,5,error3
09/03/2015 10:00,5,error2
18/03/2015 22:00,5,error1
