,day_num,date,machineID,volt,rotate,pressure,vibration
0,1,2015-01-01,1.0,0.7788677502054357,0.907847896934229,0.6355188238846973,0.6534502498056695
1,2,2015-01-02,1.0,0.7739296943288745,0.9249735112634864,0.656522043523738,0.6487291810922212
2,3,2015-01-03,1.0,0.7853846824063256,0.916093010642543,0.6580569815879247,0.8576309034786891
3,4,2015-01-04,1.0,0.7848673493320671,0.9019169611789807,0.6474995779447537,0.8515009412491292
4,5,2015-01-05,1.0,0.7832067108691761,0.9473158406484878,0.6805307300820151,0.6479015301702982
5,6,2015-01-06,1.0,0.7834799912770393,0.8985125051603858,0.6627577322271522,0.6893114957106755
6,7,2015-01-07,1.0,0.7823959283199199,0.9252923459604184,0.6447986968485213,0.6830068218062717
7,8,2015-01-08,1.0,0.7854115874215781,0.9120493500074915,0.6720596927902088,0.6462319308775909
8,9,2015-01-09,1.0,0.7877984349704609,0.9226934000660237,0.6568649467223312,0.6414130795209354
9,10,2015-01-10,1.0,0.7720979262011894,0.907352798147679,0.6375706119240854,0.6562277401573351
10,11,2015-01-11,1.0,0.7784127109751385,0.9056930113104044,0.6451430711419462,0.6685376254168397
11,12,2015-01-12,1.0,0.7688610846658253,0.9231369506757894,0.6439265118401168,0.657901449875261
12,13,2015-01-13,1.0,0.7633583400940993,0.9135878509497879,0.6564161195797374,0.6495608658543633
13,14,2015-01-14,1.0,0.7685279782636422,0.9286056343008007,0.6830842985460507,0.6568920772323866
14,15,2015-01-15,1.0,0.8084241180778827,0.9599718011986313,0.660433978585068,0.6771945402194743
15,16,2015-01-16,1.0,0.8554056237768651,0.889320557148025,0.6626371237096418,0.6650084457229081
16,17,2015-01-17,1.0,0.8686566753364541,0.9242122290129015,0.6483927685152634,0.6667689230606937
17,18,2015-01-18,1.0,0.7737678521337854,0.9510898287685634,0.6484609122715499,0.6353661108807043
18,19,2015-01-19,1.0,0.7635485519634246,0.9089846564204279,0.6491065215839618,0.6461704122147058
19,20,2015-01-20,1.0,0.7491101118200083,0.9366317007475238,0.6520278868576941,0.6478460451435162
20,21,2015-01-21,1.0,0.7753756916409225,0.9666973397029612,0.6508901383983444,0.6621579218859961
21,22,2015-01-22,1.0,0.7851954105890842,0.9362224858921455,0.6464040725504474,0.6363802991313969
22,23,2015-01-23,1.0,0.7621519100548785,0.897791206934176,0.6849734175034542,0.6643808831535265
23,24,2015-01-24,1.0,0.7596362814716973,0.921771960581711,0.6478918836772587,0.6785852102911796
24,25,2015-01-25,1.0,0.773399501131613,0.901022540756091,0.6405509998876263,0.6726546911564537
25,26,2015-01-26,1.0,0.8357296782824566,0.9270166065473638,0.6459354482897591,0.657411137870536
26,27,2015-01-27,1.0,0.8826876571544683,0.9173375504699718,0.6328012549730634,0.6337835705960723
27,28,2015-01-28,1.0,0.8115060565949449,0.9083773157052748,0.6673830673086067,0.6186551077173967
28,29,2015-01-29,1.0,0.7679533836865067,0.8918966212439176,0.6778783997161063,0.6466786381426507
29,30,2015-01-30,1.0,0.7629488281384195,0.9515056660834527,0.6404239797089493,0.6628232460857973
30,31,2015-01-31,1.0,0.7849949767219816,0.8998182228490946,0.6360619475534763,0.66133525719197
31,32,2015-02-01,1.0,0.7523343771286161,0.9074733705586475,0.668635350701117,0.6577479991031923
32,33,2015-02-02,1.0,0.7906288060178893,0.8851563207232273,0.6694278217162242,0.6437822084178447
33,34,2015-02-03,1.0,0.7757550188201481,0.887219568908724,0.6468704935862718,0.6585205668907903
34,35,2015-02-04,1.0,0.7756204173459502,0.8995812777358865,0.6525351203111778,0.6629355879607464
35,36,2015-02-05,1.0,0.7570807823777759,0.8838160989046928,0.6622187795204391,0.6548865959629397
36,37,2015-02-06,1.0,0.7819671335048367,0.8908376963551564,0.654330171822013,0.637255136898251
